Age,Education Level,Read Books,Build Reading Habit,Books per Month,Prefer Summaries,Summary Preference,Ideal Summary Length,Different Author Preference,Current Apps,Like Rewards,Preferred Rewards,Virtual Character Motivation,Share Progress
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Maybe,Both,50 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,No,Less than one book,Yes,Both,50 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Not preferred,Less than one book,Maybe,Audio summaries,50 pages,No,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Written summaries,70 pages,No,No,Yes,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,50 pages,No,No,Yes,Earning badges and digital awards,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Written summaries,50 pages,Yes,No,Yes,Customizing my virtual character,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Not preferred,Less than one book,Yes,Both,50 pages,Yes,No,No,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,High School,Yes,Yes,Less than one book,Yes,Both,50 pages,Yes,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,1-3 books,Maybe,Written summaries,70 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,Postgraduate,Yes,Yes,Less than one book,Maybe,Both,50 pages,No,No,Yes,Earning badges and digital awards,No,"No, I prefer to keep my progress private"
18-24 years old,College,Sometimes,Yes,Less than one book,Maybe,Both,70 pages,Maybe,No,Yes,Customizing my virtual character,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Audio summaries,50 pages,Maybe,No,Yes,Customizing my virtual character,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Audio summaries,50 pages,Yes,No,Maybe,Sharing reading progress with friends,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Audio summaries,70 pages,Yes,Yes (please specify the apps),Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,1-3 books,Yes,Both,50 pages,Yes,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Yes,Less than one book,Maybe,Written summaries,50 pages,Maybe,No,Yes,Customizing my virtual character;Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Both,50 pages,Yes,No,No,Sharing reading progress with friends,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,No,Less than one book,Yes,Written summaries,90 pages,No,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,No,Written summaries,90 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,Other,Sometimes,Not preferred,Less than one book,Maybe,Both,90 pages,Yes,No,Maybe,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
12-17 years old,High School,Sometimes,No,1-3 books,Yes,Audio summaries,50 pages,Maybe,No,Yes,Sharing reading progress with friends,Yes,"Yes, but only with a limited audience (e.g., friends only)"
12-17 years old,High School,Sometimes,Not preferred,1-3 books,Maybe,Both,50 pages,No,No,Yes,Sharing reading progress with friends,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Not preferred,Less than one book,Yes,Both,70 pages,Maybe,No,Maybe,Sharing reading progress with friends,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Not preferred,Less than one book,Maybe,Written summaries,90 pages,Yes,No,Maybe,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,Other,Yes,Yes,Less than one book,Maybe,Both,50 pages,Yes,No,Maybe,Customizing my virtual character,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,1-3 books,Maybe,Both,50 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Written summaries,50 pages,Yes,No,Yes,Customizing my virtual character,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Maybe,Both,50 pages,No,Yes (please specify the apps),No,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Both,90 pages,Maybe,No,Maybe,Earning badges and digital awards,No,"No, I prefer to keep my progress private"
18-24 years old,High School,Sometimes,Yes,1-3 books,No,Both,50 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Audio summaries,50 pages,Maybe,Yes (please specify the apps),Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,No,Less than one book,Yes,Both,50 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"No, I prefer to keep my progress private"
18-24 years old,High School,Yes,No,Less than one book,No,Audio summaries,50 pages,No,Yes (please specify the apps),Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,Maybe,Written summaries,50 pages,Maybe,No,No,Earning badges and digital awards,No,"Yes, but only with a limited audience (e.g., friends only)"
25-34 years old,Postgraduate,Yes,Yes,1-3 books,Yes,Both,50 pages,Yes,Yes (please specify the apps),Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,No,No,Less than one book,Yes,Both,50 pages,No,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Yes,1-3 books,No,Written summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,No,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,Less than one book,Maybe,Both,90 pages,Yes,Yes (please specify the apps),Yes,Sharing reading progress with friends,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,No,Not preferred,Less than one book,No,Both,90 pages,No,No,Yes,Sharing reading progress with friends,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,No,No,Less than one book,Yes,Written summaries,50 pages,Maybe,No,Maybe,Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,High School,Yes,Yes,1-3 books,Yes,Written summaries,70 pages,No,No,Yes,Customizing my virtual character,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Both,50 pages,No,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,Less than one book,Maybe,Both,50 pages,No,No,Maybe,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Written summaries,70 pages,Maybe,No,Maybe,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,No,1-3 books,Maybe,Audio summaries,70 pages,Maybe,No,No,Sharing reading progress with friends,No,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,No,Written summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Written summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,No,No,Less than one book,Maybe,Both,50 pages,Maybe,No,Maybe,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,1-3 books,Maybe,Written summaries,90 pages,No,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,1-3 books,Maybe,Both,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Yes,Less than one book,Yes,Both,50 pages,Yes,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Written summaries,70 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
25-34 years old,College,Yes,Yes,1-3 books,No,Written summaries,50 pages,Maybe,No,No,Earning badges and digital awards,No,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,3-5 books,No,Both,50 pages,No,No,Yes,Earning badges and digital awards,No,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,50 pages,No,No,Maybe,Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,Less than one book,Maybe,Audio summaries,50 pages,Yes,No,Yes,Sharing reading progress with friends,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,graduate,No,No,Less than one book,Yes,Audio summaries,50 pages,No,No,No,Sharing reading progress with friends,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,Postgraduate,No,Yes,Less than one book,Maybe,Both,70 pages,Yes,No,Yes,Sharing reading progress with friends,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Not preferred,Less than one book,Maybe,Both,70 pages,Maybe,No,No,Sharing reading progress with friends,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,1-3 books,Maybe,Both,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Written summaries,50 pages,Maybe,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,No,No,Less than one book,Maybe,Written summaries,50 pages,No,No,No,Earning badges and digital awards,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,Less than one book,Yes,Written summaries,70 pages,Yes,No,Maybe,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Both,70 pages,Maybe,No,Yes,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Not preferred,Less than one book,Maybe,Written summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,No,Yes,Less than one book,Yes,Both,70 pages,Maybe,No,Yes,Customizing my virtual character,Yes,"No, I prefer to keep my progress private"
25-34 years old,Postgraduate,No,Yes,Less than one book,Yes,Audio summaries,50 pages,No,No,Yes,Sharing reading progress with friends,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,3-5 books,Yes,Both,70 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,No,No,Less than one book,Yes,Audio summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"No, I prefer to keep my progress private"
18-24 years old,College,Sometimes,Not preferred,1-3 books,Yes,Both,70 pages,Yes,Yes (please specify the apps),Yes,Earning badges and digital awards,No,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Yes,Less than one book,Yes,Audio summaries,50 pages,Yes,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,No,Yes,Less than one book,Yes,Both,50 pages,No,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
12-17 years old,High School,Sometimes,Yes,Less than one book,Yes,Written summaries,50 pages,Yes,Yes (please specify the apps),Yes,Sharing reading progress with friends,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,No,Audio summaries,70 pages,Maybe,No,Maybe,Earning badges and digital awards,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Both,90 pages,Maybe,No,Yes,Earning badges and digital awards,No,"Yes, but only with a limited audience (e.g., friends only)"
25-34 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Both,70 pages,Yes,No,Yes,Customizing my virtual character,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,Less than one book,No,Written summaries,50 pages,No,No,Maybe,Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,College,No,Yes,Less than one book,Yes,Audio summaries,50 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Written summaries,50 pages,Maybe,No,Maybe,Sharing reading progress with friends,Yes,"Yes, I like to share my reading progress and points"
